Model,AUC
1001010010110.pth,0.913527884
1110000000111.pth,0.907135319
1000110000111.pth,0.906181508
1000001010111.pth,0.904152123
0001000110111.pth,0.903644776
1101010000101.pth,0.903178018
1010001000111.pth,0.902427145
0001011000111.pth,0.90208215
0010010001111.pth,0.900641286
1001100010101.pth,0.900255703
1100000101101.pth,0.899200422
1011000010110.pth,0.897718971
1001000011101.pth,0.897637795
1010000100111.pth,0.897576914
1100001000111.pth,0.89666369
1100000010111.pth,0.896257813
0001010100111.pth,0.896176638
1110010000101.pth,0.895466353
1101000001101.pth,0.895425765
1000110001101.pth,0.894999594
1000001011101.pth,0.894918419
0011000011101.pth,0.89329491
0101001000111.pth,0.893132559
1011000010101.pth,0.893010796
1000011010101.pth,0.892219336
0101110000101.pth,0.891285819
1010100100110.pth,0.891245231
0001000101111.pth,0.89108288
1100011010100.pth,0.890474064
0001011010101.pth,0.890210244
0001101010110.pth,0.890068187
1010010100101.pth,0.889256433
0011100010110.pth,0.88913467
1010100110100.pth,0.88860703
1101000100101.pth,0.888464973
1101100000101.pth,0.888262034
0010101000111.pth,0.888038802
1100101000101.pth,0.887612631
1001001100110.pth,0.886983521
0101000010111.pth,0.886882052
1110001000101.pth,0.886395
1100100011100.pth,0.885725302
0111010010100.pth,0.885583245
1000001101101.pth,0.884751197
0001100111100.pth,0.884487377
1100100100110.pth,0.884122088
0111110000100.pth,0.883980031
1100000101110.pth,0.883980031
1110010100100.pth,0.883005926
0100010010111.pth,0.882579755
0100110010101.pth,0.882072408
1011001001100.pth,0.882031821
1011100100100.pth,0.881808588
0001011110100.pth,0.881788295
0110001001110.pth,0.881179479
1000100110101.pth,0.881138891
1011101000100.pth,0.881118597
0001101001110.pth,0.88107801
0100000110111.pth,0.880834483
0000011100111.pth,0.880651839
0100100011101.pth,0.880570663
0101000011110.pth,0.879961848
0000011011110.pth,0.879718321
0100100100111.pth,0.879231269
0011110010100.pth,0.879170387
1101001100100.pth,0.879150093
0011100100110.pth,0.878622453
0110010101100.pth,0.878196282
0100000111110.pth,0.878074519
0000110111100.pth,0.878054225
0110100010110.pth,0.877851287
0101100001101.pth,0.877485997
0101000101110.pth,0.877283059
1001101100100.pth,0.877242471
1110000110100.pth,0.876653949
0010100101110.pth,0.876390129
1100001110100.pth,0.876207484
0110100000111.pth,0.87539573
0111001000101.pth,0.875273967
0100010110110.pth,0.875273967
0111011000100.pth,0.875192792
1010111000100.pth,0.874583976
0001001101110.pth,0.874056336
0011010101100.pth,0.873548989
0011000111100.pth,0.873528696
1100101010100.pth,0.873163406
0101110001100.pth,0.872980761
0100010111100.pth,0.872473415
0110101000101.pth,0.872351652
0101100100101.pth,0.872229889
0000100111110.pth,0.872189301
0010111001100.pth,0.871722542
0011101010100.pth,0.871580485
0110001001101.pth,0.869875802
0010011100101.pth,0.869429337
0000101011110.pth,0.866507022
0001110110100.pth,0.864315285
0101010110100.pth,0.862671483
0101011100100.pth,0.860012988
0010110110100.pth,0.85723273
0110110100100.pth,0.855081581
0010011101100.pth,0.853031902
1101010000011.pth,0.75647374
1101000001011.pth,0.755154639
1100010010011.pth,0.748701193
1100000110011.pth,0.744804773
1100001001011.pth,0.740685121
1101100001010.pth,0.729117623
1010000110011.pth,0.723110642
1010100011010.pth,0.722461239
1100100110010.pth,0.722075655
1100001110010.pth,0.719173634
1101010010001.pth,0.713674
1000110110010.pth,0.709554347
1000011011010.pth,0.708945531
1110100010001.pth,0.708925237
1001000110011.pth,0.707829369
1011001000011.pth,0.702715318
1110000111000.pth,0.702126796
1010101010010.pth,0.700422112
1110000110001.pth,0.699508889
1001010101010.pth,0.69930595
1001000101011.pth,0.698615959
1010001001011.pth,0.698189788
1111100001000.pth,0.697601266
1111010100000.pth,0.697012745
0110000101011.pth,0.696789512
1010100110010.pth,0.696505398
0111010010010.pth,0.696140109
1111000101000.pth,0.695166004
1001011000011.pth,0.693887491
0100010101011.pth,0.692893092
1101100011000.pth,0.691797224
1011110000010.pth,0.689138729
0110011010010.pth,0.688266093
1010001101010.pth,0.687677571
1011001001010.pth,0.685891712
1001111000010.pth,0.685384366
0100001111010.pth,0.683598506
1101001011000.pth,0.683578213
0110011000011.pth,0.681427064
0100011110010.pth,0.680107963
1001110100010.pth,0.6799862
1101101010000.pth,0.679783262
1100011100001.pth,0.678220635
1011100100010.pth,0.677307411
0100110010011.pth,0.676028898
0111001001010.pth,0.67440539
0110001100011.pth,0.674364802
0100100111010.pth,0.674019807
1100101010001.pth,0.672639825
1000011100011.pth,0.671016316
0101011001010.pth,0.669453689
1100001101001.pth,0.66935222
0111000011001.pth,0.668438997
1000010111001.pth,0.668357821
1010001110001.pth,0.667789593
1011001100010.pth,0.667464892
1001101000011.pth,0.666470493
1010110110000.pth,0.665557269
0111100100010.pth,0.662553779
0101001110010.pth,0.661884082
0111000111000.pth,0.660849095
0101001100011.pth,0.660240279
0110011100010.pth,0.656871499
1001100111000.pth,0.656262684
1011100010001.pth,0.655633574
1010011010001.pth,0.653746246
0110101100010.pth,0.651940093
0110011011000.pth,0.651574803
0111010101000.pth,0.651209514
0111100010001.pth,0.648936602
1010010101001.pth,0.639621723
1001011110000.pth,0.639479666
1010100101001.pth,0.639114376
1001101110000.pth,0.637287929
0111110000001.pth,0.635684715
0010010101011.pth,0.634771491
0110100101001.pth,0.633533566
1011110100000.pth,0.631321536
0001010011011.pth,0.629129799
0100111011000.pth,0.627485997
0001101011010.pth,0.626958357
0110101001001.pth,0.626369835
0100110111000.pth,0.619916389
0011010110010.pth,0.617887004
1010111100000.pth,0.617257894
0001011011010.pth,0.614619693
0011011010010.pth,0.613300593
0101111010000.pth,0.611433558
0100111010001.pth,0.610926212
0101111001000.pth,0.609911519
0000101110011.pth,0.608612712
0100111110000.pth,0.607253024
0011001110010.pth,0.604797467
0111101100000.pth,0.603803068
0001101001011.pth,0.59828314
0011001101010.pth,0.597856969
1000011101001.pth,0.597065509
0101011100001.pth,0.596436399
0000110101011.pth,0.595868171
0001100110011.pth,0.595401412
0011101001010.pth,0.593980843
0100111100001.pth,0.58959737
0011001100011.pth,0.584625375
0001111001010.pth,0.584239792
0010101011001.pth,0.580038964
0011110010001.pth,0.578050166
0010001111001.pth,0.577887816
0011101011000.pth,0.564311227
0000101111001.pth,0.552926374
0001101111000.pth,0.549435831
0001001111001.pth,0.538883026
0001011111000.pth,0.535169251
0011110100001.pth,0.530298726
