Model,AUC
1001000001111.pth,0.910098222
1000110001110.pth,0.905917688
1001100010110.pth,0.904091241
1110000010101.pth,0.902467733
1001010011100.pth,0.9022445
1000110010101.pth,0.901513922
1010110000110.pth,0.898185729
1010000011110.pth,0.897759558
1111100000100.pth,0.897637795
1110100000110.pth,0.8972928
1001011000101.pth,0.897008686
1001100001110.pth,0.896541927
1001010100110.pth,0.896379576
0010000011111.pth,0.896257813
1001001000111.pth,0.89613605
0100010110101.pth,0.896075168
1010001010110.pth,0.895648997
0010000101111.pth,0.893741375
1000100101110.pth,0.893721081
1010100010110.pth,0.893579024
1000011011100.pth,0.893538437
1010010110100.pth,0.892868739
0011010100110.pth,0.892117867
1000101011100.pth,0.891752577
0011001011100.pth,0.89161052
1000001011110.pth,0.891590226
1111010000100.pth,0.891387288
1100010101100.pth,0.891387288
1100010100110.pth,0.891062586
1011000001101.pth,0.890839354
0010110010110.pth,0.890778472
0111010000110.pth,0.890352301
0100010011110.pth,0.890271126
0001011011100.pth,0.889966718
1000001110101.pth,0.889946424
1011001010100.pth,0.889499959
1010000110101.pth,0.889073788
0010011001101.pth,0.88887085
1010011100100.pth,0.888464973
0011001001101.pth,0.888424385
1010101000101.pth,0.88824174
1000101010110.pth,0.887592337
1000011100101.pth,0.887125578
1101000110100.pth,0.886760289
1001110000101.pth,0.88665882
1000101001101.pth,0.886131179
0001001100111.pth,0.885968829
0010010100111.pth,0.885826772
0110000110110.pth,0.88497443
1101100001100.pth,0.883980031
0111000001101.pth,0.883898855
0000101001111.pth,0.882884163
0101100010110.pth,0.882600049
0100010100111.pth,0.882600049
1011010100100.pth,0.882579755
0000001111110.pth,0.882478286
0000001101111.pth,0.881788295
0110110000101.pth,0.881504181
0001101010101.pth,0.881443299
0000110110101.pth,0.880611251
1000011100110.pth,0.880327137
0100010101101.pth,0.879941554
0100001010111.pth,0.879576264
1101000101100.pth,0.878906567
0111000010110.pth,0.878805098
0000100111101.pth,0.878318045
0100010101110.pth,0.878175988
1101001001100.pth,0.878115107
1001110100100.pth,0.876998945
0100111000101.pth,0.876735125
1010101001100.pth,0.876511892
0000001110111.pth,0.876207484
0010001110110.pth,0.875152204
0100101100110.pth,0.873893985
0001001110110.pth,0.873772222
0011001100110.pth,0.873386639
1100011100100.pth,0.873305463
0010101001101.pth,0.871925481
0000001111101.pth,0.870849907
0011101001100.pth,0.870383148
0111010100100.pth,0.869490218
0010111010100.pth,0.869449631
0001111000101.pth,0.869246692
0110001100110.pth,0.869124929
0000101101101.pth,0.868252293
0011001101100.pth,0.868029061
1110001001100.pth,0.867379657
0100000111101.pth,0.867136131
0110111000100.pth,0.864457342
0101111000100.pth,0.864213816
0110100110100.pth,0.864152934
0101001101100.pth,0.863544119
0100101011100.pth,0.86060151
0010001110101.pth,0.860195633
