Model,AUC
1001010000111.pth,0.910504099
1011000001110.pth,0.907074438
1000010011101.pth,0.90677003
1000000110111.pth,0.904253592
1001010010101.pth,0.904253592
1011000000111.pth,0.904172417
1000000101111.pth,0.903969478
1101010000110.pth,0.901331277
0101010000111.pth,0.90066158
1001000110110.pth,0.899667181
1000100011101.pth,0.898855427
1110000001101.pth,0.898753957
1010010011100.pth,0.898185729
0001110000111.pth,0.898124848
0000010011111.pth,0.897658089
1001001010110.pth,0.897536326
0110000010111.pth,0.897516032
0110000001111.pth,0.897130449
0001110010110.pth,0.896988392
1000110100110.pth,0.896521633
1011110000100.pth,0.896237519
1100011000110.pth,0.896054875
1100110000110.pth,0.895851936
1100000011101.pth,0.895588116
0011110000110.pth,0.89524312
1010010001101.pth,0.89508077
0000110011110.pth,0.894857537
1011000110100.pth,0.894776362
1010100001110.pth,0.894553129
0010110001101.pth,0.894289309
1001101000101.pth,0.89355873
1101110000100.pth,0.892929621
0001001001111.pth,0.892868739
1001001011100.pth,0.892280218
0011110000101.pth,0.892158454
1010000011101.pth,0.891833753
1010101000110.pth,0.8913467
1010010101100.pth,0.889905837
1001011010100.pth,0.889642016
1100001010110.pth,0.889459372
0011100010101.pth,0.889154964
1110000100110.pth,0.889012907
0001101001101.pth,0.888728793
1010000101101.pth,0.888586736
1010000110110.pth,0.888383797
0100010011101.pth,0.887592337
0010100011110.pth,0.887227048
1100001001101.pth,0.887105285
0000011011101.pth,0.886882052
1000100101101.pth,0.886110886
0010101010110.pth,0.885826772
1110010010100.pth,0.885806478
0100001011110.pth,0.885603539
1000111000110.pth,0.88550207
1100001001110.pth,0.884812079
0001110001101.pth,0.884527965
0000011101101.pth,0.883350921
0000110110110.pth,0.883066807
0010010011101.pth,0.882823281
0001011100101.pth,0.882539167
1010001110100.pth,0.882457992
1100000110110.pth,0.88213329
0000111000111.pth,0.882072408
1110101000100.pth,0.881443299
1100101001100.pth,0.88124036
0000111010110.pth,0.880408312
0100111010100.pth,0.879779203
0111100000110.pth,0.879413913
0110110001100.pth,0.878541278
0010101001110.pth,0.878338339
0110000101101.pth,0.87787158
1100001011100.pth,0.877039532
1010001100101.pth,0.876735125
1001100101100.pth,0.876471304
0100101001110.pth,0.876410423
0010011011100.pth,0.87628866
0111000011100.pth,0.876187191
0001100101101.pth,0.876126309
0110100100110.pth,0.875517493
1101000011100.pth,0.875456612
0101010100101.pth,0.87460427
0100110100101.pth,0.872879292
0101100001110.pth,0.870525205
0010100111100.pth,0.870241091
0100011101100.pth,0.869591688
0111100010100.pth,0.867744947
0010001101110.pth,0.867034662
0100011110100.pth,0.86670996
0110101000110.pth,0.865999675
0101101000101.pth,0.865045864
0100111001100.pth,0.86502557
0110001011100.pth,0.862509132
0101100110100.pth,0.857455962
0100110011100.pth,0.852260735
1110010010010.pth,0.751826447
1101000011010.pth,0.743384203
1100110010010.pth,0.743018914
1100100001011.pth,0.741476581
1110001000011.pth,0.740928647
1110000110010.pth,0.737478691
1101001010010.pth,0.736342236
1110100000011.pth,0.733277863
1110100001010.pth,0.728265281
1101000101010.pth,0.727656466
1001001011010.pth,0.724612387
0111000011010.pth,0.720391266
1000001011011.pth,0.71888952
1010001010011.pth,0.71162432
0111000001011.pth,0.705454988
1101000011001.pth,0.703019726
1010110001010.pth,0.702999432
0110000110011.pth,0.70161945
1101001010001.pth,0.701213573
0100000111011.pth,0.699813297
1001101010010.pth,0.699590064
0101010011010.pth,0.696140109
1001010100011.pth,0.693867197
1110010110000.pth,0.693522201
1110110001000.pth,0.692791623
1010011010010.pth,0.691371053
1110010101000.pth,0.690944882
0100010110011.pth,0.689991071
1101100110000.pth,0.689991071
1001001110010.pth,0.689382255
0111100010010.pth,0.688692264
1000100101011.pth,0.685079958
1011011000010.pth,0.684937901
0111010000011.pth,0.684592905
1110110100000.pth,0.682786752
0110011001010.pth,0.681345888
0100100110011.pth,0.680655897
1100101011000.pth,0.680331196
1010000111001.pth,0.679235328
1011100000011.pth,0.678017696
1001000111001.pth,0.677652407
1010100101010.pth,0.676820359
1000101110010.pth,0.676556539
1001001100011.pth,0.674060395
0100110100011.pth,0.670691615
1010001100011.pth,0.670651027
1100101001001.pth,0.669656628
1010010110001.pth,0.669575453
1100111000001.pth,0.669068106
1110101100000.pth,0.668682523
1101001101000.pth,0.664846984
1100110101000.pth,0.664217875
1100011101000.pth,0.662634954
1101101100000.pth,0.66235084
1001001111000.pth,0.662127608
0110011001001.pth,0.658048543
1100101100001.pth,0.657460021
0111010110000.pth,0.65419271
0110110010001.pth,0.652264794
0010100011011.pth,0.649931001
0100101110010.pth,0.649261304
