Model,AUC
1000100001111.pth,0.911397029
1000010001111.pth,0.910727332
1010010100110.pth,0.906709148
1010000010111.pth,0.906688855
1010010010110.pth,0.903624483
1001100000111.pth,0.903583895
1010000001111.pth,0.903198312
1010100000111.pth,0.902914198
0011010010110.pth,0.899829532
1100100000111.pth,0.898936602
1000100110110.pth,0.897130449
1010001001101.pth,0.897110155
0011100001110.pth,0.895851936
0001011010110.pth,0.894492248
0101000100111.pth,0.894350191
0000110010111.pth,0.894309603
0010010011110.pth,0.894289309
0100110000111.pth,0.894269015
1100010010101.pth,0.894025489
1100010001110.pth,0.893984901
1100100001101.pth,0.89303109
1011100010100.pth,0.892929621
1101001000110.pth,0.892868739
0000100101111.pth,0.892868739
1000010110110.pth,0.892097573
0100010001111.pth,0.892097573
1001110000110.pth,0.892077279
1000011001110.pth,0.891854047
1100000100111.pth,0.891732283
1111000010100.pth,0.891569933
0001010101110.pth,0.891265525
1010000101110.pth,0.891224937
1101100010100.pth,0.890697297
1010101010100.pth,0.890474064
1011010001100.pth,0.890088481
0111000010101.pth,0.889946424
1101001000101.pth,0.88966231
0101010100110.pth,0.889236139
0001110011100.pth,0.889033201
1101010100100.pth,0.888688205
0000010110111.pth,0.88834321
1101010010100.pth,0.88824174
1010100100101.pth,0.888180859
0001000011111.pth,0.888099683
1010100011100.pth,0.88797792
0011100001101.pth,0.887734394
1001000101110.pth,0.887551749
0011010011100.pth,0.886902346
1010000111100.pth,0.886861758
1011100001100.pth,0.886821171
0010111000110.pth,0.886577644
1100101000110.pth,0.886334118
1110001010100.pth,0.885786184
0100110001110.pth,0.885136781
0010100100111.pth,0.884954136
0110010001110.pth,0.88434532
1000001100111.pth,0.884182969
1001101000110.pth,0.884162676
1000111010100.pth,0.882701518
1100000110101.pth,0.882640636
0000000111111.pth,0.88239711
0001100011101.pth,0.882173878
0010000110111.pth,0.881585356
0101001001110.pth,0.88107801
1000101100101.pth,0.880814189
0101011010100.pth,0.880672132
0001100100111.pth,0.8804489
0001011100110.pth,0.880286549
1000100111100.pth,0.879677734
0011011000101.pth,0.878926861
1101000100110.pth,0.878784804
0100011001110.pth,0.877932462
0110100001101.pth,0.877770111
1101100100100.pth,0.877506291
1100011001100.pth,0.877141002
1010100101100.pth,0.876917769
0110011000110.pth,0.876836594
1000001101110.pth,0.876796006
0000111001110.pth,0.876775712
0100001101101.pth,0.875091322
0001110100101.pth,0.874482507
0010100101101.pth,0.874279568
0011111000100.pth,0.873244582
0000111100110.pth,0.872716941
0010010111100.pth,0.87255459
0000101101110.pth,0.872311064
0101101000110.pth,0.872311064
0111001001100.pth,0.872250183
0011001110100.pth,0.871722542
0011100011100.pth,0.871661661
0010101011100.pth,0.871255784
0010100110101.pth,0.870038152
0001111010100.pth,0.869794626
0110010110100.pth,0.867623184
0100011100110.pth,0.867481127
0101001011100.pth,0.867379657
0100001101110.pth,0.866567903
0000101011101.pth,0.866425846
0010110100101.pth,0.865309684
0110001101100.pth,0.865045864
0111001100100.pth,0.864842926
0001001111100.pth,0.861880023
1100101100100.pth,0.860520334
0110100101100.pth,0.847836675
0000111101100.pth,0.842377628
1110010000011.pth,0.754079065
1111000010010.pth,0.749005601
1110000011010.pth,0.74778797
1101010001010.pth,0.746468869
1100000101011.pth,0.740116893
1110011000010.pth,0.733216982
1100001100011.pth,0.73130936
1000010111010.pth,0.727514409
1110110000010.pth,0.724997971
1111100000010.pth,0.723861515
1010010011010.pth,0.721811835
1010110010010.pth,0.72031009
1010100001011.pth,0.717874828
1010010010011.pth,0.716515139
1111000010001.pth,0.714810455
1001100011010.pth,0.713349298
1000001111010.pth,0.712395487
1100001101010.pth,0.712273724
1000001110011.pth,0.712192548
0100010011011.pth,0.711827259
1000101001011.pth,0.710873448
1001110001010.pth,0.710183456
1000011001011.pth,0.709554347
0101010010011.pth,0.707484374
1000110010011.pth,0.705718808
1000011010011.pth,0.705657927
1110100011000.pth,0.705597045
1110110000001.pth,0.702045621
1010010100011.pth,0.701213573
1101001110000.pth,0.700442406
0100110001011.pth,0.699772709
0101000101011.pth,0.699265362
1101010011000.pth,0.698839191
1010011001010.pth,0.698656547
1001001010011.pth,0.697682442
1010010101010.pth,0.696444517
0111010001010.pth,0.694557188
1110010100001.pth,0.693522201
1100011001001.pth,0.692507509
1100010111000.pth,0.690660768
1111001000001.pth,0.689443137
0101000111010.pth,0.686865817
1000110100011.pth,0.686378765
1000110101010.pth,0.685587304
0111100000011.pth,0.683781151
0100011011010.pth,0.682725871
1010100100011.pth,0.682502638
1100001110001.pth,0.680473253
0111011000010.pth,0.676211543
0100110110010.pth,0.675765078
1010111000010.pth,0.674121276
1000100111001.pth,0.674121276
0100101011010.pth,0.674121276
1011100011000.pth,0.67387775
1101011100000.pth,0.673126877
1101111000000.pth,0.668012826
0100110101010.pth,0.667911356
1011010010001.pth,0.667891063
0100011100011.pth,0.663629353
0101011000011.pth,0.662675542
0111100011000.pth,0.659692345
0111001011000.pth,0.659367643
0111101000010.pth,0.657460021
1010001111000.pth,0.655917688
0110010101001.pth,0.653360662
1000110110001.pth,0.65198068
0111001001001.pth,0.650580404
0111110010000.pth,0.650073058
1001011010001.pth,0.649687475
1010110001001.pth,0.649301891
0000110011011.pth,0.647313094
1001101010001.pth,0.647150743
0010110011010.pth,0.646785453
1011011010000.pth,0.646582515
0101011011000.pth,0.642462862
0111011000001.pth,0.642341099
0010011001011.pth,0.640940823
0110101010001.pth,0.638363504
0010101011010.pth,0.634913548
0100111100010.pth,0.633492978
0110011100001.pth,0.631686825
0101110010001.pth,0.631301242
0010100110011.pth,0.630733014
1011101001000.pth,0.630245962
0100101011001.pth,0.629982141
0101010101001.pth,0.629758909
0010110001011.pth,0.62955597
0011010101010.pth,0.626755418
0011101010010.pth,0.624847796
0011000110011.pth,0.621418135
0011100001011.pth,0.619774332
0010101110010.pth,0.61618232
0001011010011.pth,0.613949996
0101011101000.pth,0.612651189
0100110101001.pth,0.608511243
0100101111000.pth,0.608044484
1001110001001.pth,0.607983603
1001010101001.pth,0.602686906
0010111000011.pth,0.602646319
0011100100011.pth,0.592316746
0010111010001.pth,0.58480802
0001011110010.pth,0.576974592
0010101111000.pth,0.569364396
0011110110000.pth,0.551911681
0011111100000.pth,0.53721893
0001011011001.pth,0.534844549
0011110101000.pth,0.53216576
0001111110000.pth,0.507184025
0001101101001.pth,0.484089618
