Model,AUC
0001010010111.pth,0.907500609
1000010010111.pth,0.907196201
1001010001110.pth,0.905856807
1100000001111.pth,0.904395649
1100010000111.pth,0.904070947
1111000000101.pth,0.902528614
1011010010100.pth,0.901331277
1000110010110.pth,0.901229808
1001000100111.pth,0.900763049
1001010110100.pth,0.900600698
0010100001111.pth,0.900580404
1011000011100.pth,0.898794545
1110010000110.pth,0.898307492
0000111010101.pth,0.897516032
1000100100111.pth,0.896886923
1101000010110.pth,0.896460752
1100100001110.pth,0.894248721
1000011110100.pth,0.893497849
1101100000110.pth,0.893071678
1010011001100.pth,0.892016397
1010001011100.pth,0.891529345
0001110010101.pth,0.891285819
1100011000101.pth,0.891164056
0000011010111.pth,0.890758178
1010011010100.pth,0.89055524
1001111000100.pth,0.890068187
1100110001100.pth,0.889560841
1001100100101.pth,0.889520253
1001100100110.pth,0.889378196
1000010101110.pth,0.888505561
0001111000110.pth,0.887998214
0110001000111.pth,0.887206754
1010011000110.pth,0.886800877
1110010001100.pth,0.886232649
0101010001101.pth,0.886151473
0101000001111.pth,0.885806478
1001101010100.pth,0.885745596
1010001001110.pth,0.885684715
0010011001110.pth,0.885684715
0011011001100.pth,0.885096193
0100100010111.pth,0.885075899
0001110001110.pth,0.88460914
1100000011110.pth,0.884223557
0010110011100.pth,0.883898855
1001011001100.pth,0.883066807
0100001100111.pth,0.882620343
0111010000101.pth,0.881788295
1111000100100.pth,0.881483887
0011101000101.pth,0.88097654
1100001100110.pth,0.880935953
0010110100110.pth,0.880895365
0101010001110.pth,0.880469194
0111010001100.pth,0.880205374
1001100110100.pth,0.880043023
0101001010110.pth,0.87992126
1001001110100.pth,0.87965744
0110010100101.pth,0.879535677
1000101100110.pth,0.879089212
0011110001100.pth,0.879089212
0000111001101.pth,0.878967449
0000011110110.pth,0.878784804
1100110100100.pth,0.877952756
0010100011101.pth,0.876978651
0101000110110.pth,0.876897475
1100100101100.pth,0.876714831
0101001100101.pth,0.876227778
0111000110100.pth,0.876146603
1100001101100.pth,0.875071028
