Model,AUC
0001010110110.pth,0.909854696
1000000011111.pth,0.906080039
1011010000110.pth,0.906039451
1101000000111.pth,0.902853316
1000100010111.pth,0.901331277
1000011010110.pth,0.900600698
0011000010111.pth,0.900499229
1000010100111.pth,0.900438347
1110100000101.pth,0.898997484
0011010000111.pth,0.897962497
1100110000101.pth,0.897434857
1010110001100.pth,0.895324296
0000010101111.pth,0.894776362
1011000100110.pth,0.894674892
1010100001101.pth,0.894654599
1001011000110.pth,0.894390778
1000010101101.pth,0.894147252
0000011001111.pth,0.893315204
1100010010110.pth,0.893132559
0011000011110.pth,0.892686095
0001011001110.pth,0.892341099
0100000101111.pth,0.892178748
1010110100100.pth,0.892178748
0001010011101.pth,0.892158454
1001000111100.pth,0.891387288
1110000001110.pth,0.890859648
1100100010101.pth,0.890372595
1011001000101.pth,0.889946424
0100000011111.pth,0.888647618
1001001001101.pth,0.888505561
1100010110100.pth,0.888444679
0111000000111.pth,0.888322916
1000110100101.pth,0.888221447
1000011001101.pth,0.888221447
0110000100111.pth,0.888038802
1000001111100.pth,0.88797792
0010100110110.pth,0.8877141
0000010111110.pth,0.887653219
0010001001111.pth,0.887145872
1000110110100.pth,0.887024109
0001001010111.pth,0.886780583
0011000101110.pth,0.886760289
0000101010111.pth,0.886395
0100011000111.pth,0.886131179
0011000101101.pth,0.885420895
0110010010101.pth,0.885380307
0110010001101.pth,0.885075899
1100100110100.pth,0.884933842
0001001011101.pth,0.884588846
1110001100100.pth,0.884548259
1000111001100.pth,0.884325026
0110100010101.pth,0.883878562
0001000111110.pth,0.883695917
0110010100110.pth,0.883005926
1010011000101.pth,0.882417404
1110100100100.pth,0.88239711
0100101000111.pth,0.882194172
0111000001110.pth,0.881524474
0000011111100.pth,0.881280948
1001101001100.pth,0.881118597
0010000111110.pth,0.881057716
1010001100110.pth,0.880611251
0010010101101.pth,0.880327137
0100011010101.pth,0.879961848
0111100000101.pth,0.879880672
1001001100101.pth,0.879048624
0101001001101.pth,0.878987743
1100000111100.pth,0.878419515
0011000110101.pth,0.877648348
0101010010101.pth,0.876958357
0110110010100.pth,0.876613361
1111000001100.pth,0.876451011
0001010110101.pth,0.876166897
0010010110101.pth,0.875456612
0000101110101.pth,0.874827502
0111001010100.pth,0.874543388
0100100110101.pth,0.873934573
0110000101110.pth,0.873630165
0011101000110.pth,0.872493709
0000101100111.pth,0.872453121
0100011010110.pth,0.871844306
0001001110101.pth,0.871194902
0100110010110.pth,0.870931082
0010011100110.pth,0.870789025
0101001110100.pth,0.870626674
1011001100100.pth,0.870362854
1000101101100.pth,0.87007874
0101010011100.pth,0.870038152
0011110100100.pth,0.869591688
1001001101100.pth,0.86928728
0011100110100.pth,0.868008767
0110011001100.pth,0.867846416
0000011110101.pth,0.866588197
0110101010100.pth,0.866405552
0100011100101.pth,0.865817031
0001101110100.pth,0.86565468
0110000111100.pth,0.864132641
0110100011100.pth,0.862975891
0110101100100.pth,0.862874422
0010001101101.pth,0.862346781
0001101101100.pth,0.862103255
0100100111100.pth,0.86165679
0110011100100.pth,0.861535027
0010101100101.pth,0.861474146
0100011011100.pth,0.86112915
0011101100100.pth,0.860642098
0100111000110.pth,0.860459453
0100100101101.pth,0.860418865
0100100011110.pth,0.859789756
0100110110100.pth,0.85944476
0100001111100.pth,0.857922721
0100101110100.pth,0.854939524
0000101111100.pth,0.853356604
1100011000011.pth,0.749492654
1100110001010.pth,0.737843981
1100001011010.pth,0.737478691
1110000100011.pth,0.733561977
1100100011010.pth,0.7331561
1101001000011.pth,0.731106421
1000010110011.pth,0.728062343
1010001011010.pth,0.72430798
1111001000010.pth,0.721669778
1001100010011.pth,0.713674
1001100001011.pth,0.710812566
1010100010011.pth,0.70993993
1000100111010.pth,0.709473172
1001001001011.pth,0.708417891
1111000011000.pth,0.70746408
1110001110000.pth,0.70667262
1100000111001.pth,0.702999432
0110010110010.pth,0.701944151
0110100010011.pth,0.701010634
1000101010011.pth,0.7004627
1101100010001.pth,0.700117704
1100011010001.pth,0.699691533
0110001001011.pth,0.699650946
1101011010000.pth,0.697580972
0101000011011.pth,0.696586574
1100100011001.pth,0.696180696
1101010110000.pth,0.696140109
0110100001011.pth,0.69593717
0111000110010.pth,0.694841302
1101000101001.pth,0.689686663
1111100100000.pth,0.689504018
0101001011010.pth,0.686033769
1010011000011.pth,0.683192629
1000111000011.pth,0.682908515
0111000101010.pth,0.682685283
1100001111000.pth,0.682259112
0101110010010.pth,0.681447358
1110100101000.pth,0.680229726
1010101001010.pth,0.678382986
1000111001010.pth,0.677490056
1011010000011.pth,0.67698271
0101100001011.pth,0.676394188
1100110100001.pth,0.674019807
0110001101010.pth,0.672112184
0101101000011.pth,0.67130043
1011010110000.pth,0.670935141
1011000011001.pth,0.669291339
0100111000011.pth,0.66793165
1011101000010.pth,0.66687637
1101101000001.pth,0.664238169
0111010010001.pth,0.65908353
0111100001001.pth,0.658779122
1000111100010.pth,0.65845442
1001110010001.pth,0.657257083
1010101010001.pth,0.657216495
1000101101010.pth,0.657196201
0111000110001.pth,0.653035961
0100101100011.pth,0.652954785
1101101001000.pth,0.651534215
0100110011001.pth,0.651209514
1100111100000.pth,0.650783343
1011010001001.pth,0.650357172
0101010011001.pth,0.648835133
1010101100010.pth,0.648551019
0100011011001.pth,0.647089861
1011100101000.pth,0.641732283
1011011000001.pth,0.641103174
0010100101011.pth,0.63992613
0110111010000.pth,0.639073788
1001100110001.pth,0.6377141
0101001110001.pth,0.632376816
1010011100001.pth,0.63213329
0110011110000.pth,0.631768001
0000111010011.pth,0.631463593
0111101001000.pth,0.63097654
0101100110001.pth,0.62797305
0100100111001.pth,0.627567173
0011010001011.pth,0.626755418
0101010110001.pth,0.62460427
0111100101000.pth,0.624502801
